,question,answer,category
0,چطور آدرس خود را در حساب کاربری ثبت کنم؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,ورود و ثبت نام
1,چگونه یک کلمه عبور امن ایجاد کنیم ؟,یکی از راه‌هایی که از نفوذ هکرها و مجرمان سایبری به حساب‌های کاربری و حریم شخصی شما جلوگیری می‌کند، ساخت و استفاده از یک گذرواژه قوی و غیرقابل حدس است.,ورود و ثبت نام
2,من دو حساب کاربری در دیجی‌کالا دارم، آیا می‌توانم آنها را ادغام کنم؟,بله، شما می‌توانید حساب‌های کاربری خود را در دیجی‌کالا ادغام کنید. ,ورود و ثبت نام
3,به چه حساب کاربری جدید گفته می شود؟,مالک آن مشتری جدید دیجی کالا باشد و حساب کاربری دیگری نداشته باشد. اولین خرید خود را ثبت نکرده باشد.,ورود و ثبت نام
4,چطور میتوانم با حساب کاربری خود برای شرکت یا ارگان حقوقی خرید کنم ؟,ورود به پروفایل ویرایش اطلاعات شخصی ایجاد اطلاعات حقوقی,ورود و ثبت نام
5,چطور میتوانم شماره کارت خود را در حساب کاربری وارد کنم؟,شما میتوانید وارد حساب کاربری خود شده و شماره کارت خود را وارد نمایید.,ورود و ثبت نام
6,چطور میتوانم مشخصات کاربری و ایمیل خود را ویرایش کنم؟,"با وارد کردن ایمیل (یا شماره ی همراه ) وارد حساب کاربری خود شوید. روی گزینه ""پروفایل "" کلیک کرده و در صفحه‏"" اطلاعات شخصی"" روی “ویرایش اطلاعات شخصی "" کلیک کنید.",ورود و ثبت نام
7,رمز عبور خود را فراموش کردم، چطور میتوانم از طریق نسخه وب رمز خود را بازیابی کنم؟,لطفا به قسمت توضیحات تکمیلی وارد شوید.,ورود و ثبت نام
8,می‏‌توانم سفارشم را تلفنی ثبت کنم؟, خیر، امکان ثبت سفارش بصورت تلفنی امکان پذیر نیس.,روند ثبت سفارش
9,چطور آدرس خود را در حساب کاربری ثبت کنم؟,پس از تکمیل اطلاعات کاربری خود به قسمت نشانی ها مراجعه نمایید.,روند ثبت سفارش
10,ارسال سفارشات حجیم و سنگین به روش باربری چگونه است؟,لوازم خانگی سنگین و کالاهای حجیم یا بزرگ، به صورت پس‌کرایه (پرداخت هزینه باربری هنگام تحویل کالا) ارسال خواهد شد,روند ثبت سفارش
11,چطور میتوانم برای خرید کارت هدیه فاکتور دریافت کنم؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,روند ثبت سفارش
12,موتور سیکلت با پلاک ارسال میشود؟ پلاک به نام چه شخصی هست؟,موتورسیکلت پلاک شده هست . پلاک مستیقم به نام مشتری میشود . از لحظه تحویل موتورسیکلت موتور قابل استفاده می باشد.,روند ثبت سفارش
13,آیا موتور شامل ضمانت 7 روز بازگشت دیجی کالا میشود؟,خیر با توجه به ماهیت کالا شامل 7 روز ضمانت بازگشت نمی باشد و خدمات بعدی توسط گارانتی ارائه خواهد شد.,روند ثبت سفارش
14,برای سند زدن موتور سیکلت چه مدارکی لازم هست؟,کپی برابر اصل شناسنامه و کارت ملی - قبض برق یا گاز منزل مسکونی دارای کدپستی درتهران - اصل بیمه نامه شخص ثالث,روند ثبت سفارش
15,بعد از اینکه سفارشم ثبت نهایی شد ، چه زمانی میتوانم آن را تحویل بگیرم؟,در صورتی که دریکی از شهرهای اکسپرس هستید ، طی ثبت سفارش ، ما به شما امکان انتخاب بازه های زمانی را میدهیم و طبق بازه زمانی انتخابی کالا تحویل شما میشود.در غیر اینصورت سفارش شما از طریق پست و باربری طی 4 روز کاری تحویل شما میشود.,روند ثبت سفارش
16,میتوانم بعد از فاکتور شدن سفارش درخواست تغییر در مندرجات فاکتور را بدهم ؟,خیر. بعد از صادر شدن فاکتور امکان هیچ تغییری وجود ندارد.,روند ثبت سفارش
17,از چه روشهایی میتوانم سفارش خود را پرداخت کنم ؟,به دو صورت پرداخت در محل (کارتخوان سیار) و پرداخت آنلاین میتوانید سفارش خود را پرداخت نمایید.,روند ثبت سفارش
18,تا زمان آماده شدن سند موتور سیکلت آیا امکان تردد با موتور هست؟,بله . برگه تردد برای مشتری صادر میشه تا سند و کارت موتورشون حاضر شود .,روند ثبت سفارش
19,چطور میتوانم پس از ثبت سفارش زمان ارسال را ویرایش کنم؟,شما میتوانید با مراجعه به پروفایل، بازه تحویل سفارش خود را تغییر دهید.,پیگیری ارسال سفارش
20,بعد از اینکه سفارشم ثبت نهایی شد ، چه زمانی میتوانم آن را تحویل بگیرم؟,در صورتی که دریکی از شهرهای اکسپرس هستید ، طی ثبت سفارش ، ما به شما امکان انتخاب بازه های زمانی را میدهیم و طبق بازه زمانی انتخابی کالا تحویل شما میشود.در غیر اینصورت سفارش شما از طریق پست و باربری طی 4 روز کاری تحویل شما میشود.,پیگیری ارسال سفارش
21,سفارشاتی که از طریق پست پیشتاز ارسال می‌شوند را چگونه می‌توان پیگیری کرد؟,در صورتی که منتظر دریافت سفارش خود از طریق پست هستید، می‌توانید مرسوله را از طریق سایت شرکت پست به آدرس زیر پیگیری کنید,پیگیری ارسال سفارش
22,چطور میتوانم به اطلاعات خریدهای قبلی خود دسترسی پیدا کنم؟,"ابتدا وارد پروفایل خود شوید. روی گزینه ی ""سفارشات من"" کلیک کنید. میتوانید در این قسمت سوابق سفارشات خود را ملاحظه فرمایید",پیگیری ارسال سفارش
23,چطور میتوانم با شما تماس بگیرم؟,کاربر گرامی، لطفاً در صورت وجود هرگونه سوال یا ابهامی، پیش از ارسال ایمیل یا تماس تلفنی با دیجی‌کالا، بخش پرسش‏های متداول را ملاحظه فرمایید و در صورتی که پاسخ خود را نیافتید، با ما تماس بگیرید.,پیگیری ارسال سفارش
24,چطور می‌توانم سفارشم را پیگیری کنم؟,وارد سایت دیجی‌کالا شوید. روی گزینه سفارش‌های من کلیک کنید. در این قسمت با کلیک روی جزییات می‌توانید سفارش خود را ببینید. می‌توانید در این قسمت روند آماده‌سازی و مراحل ارسال سفارش خود را پیگیری کنید.,پیگیری ارسال سفارش
25,چطور میتوانم پس از ثبت سفارش آدرس تحویل سفارش را ویرایش کنم؟,شما میتوانید با مراجعه به پروفایل، آدرس یا بازه تحویل سفارش خود را تغییر دهید.,پیگیری ارسال سفارش
26,چطور میتوانم سفارشم را لغو کنم ؟,شما میتوانید با مراجعه به پروفایل خود سفارش یا مرسوله ایی که از ارسال آن منصرف شدید را لغو نمایید. میتوانید برای مشاهده روند لغو سفارش به توضیحات تکمیلی مراجعه کنید,پیگیری ارسال سفارش
27,در صورت بروز تاخیر در تامین کالا چطور اطلاع رسانی صورت میگیرد؟,در صورتی که تا تاریخ انتخابی شما برای ارسال ،کالا آماده ارسال نشود، صبح همان روز پیامکی برای شما جهت اطلاع رسانی تاخیر تحویل سفارش ارسال می شود.,پیگیری ارسال سفارش
28,بازه ارسال فرا رسیده ولی سفارش در مرکز حضوری نمیباشد چه باید کرد ؟,جهت پیگیری با  دیجی کالا وارد صفحه تماس با ما شوید و از طریق کانال های ارتباطی مشکل را اعلام کنید،همکاران ما مشکل را بررسی و از طریق تماس یا پیامک نتیجه را به شما در کوتاه ترین زمان ممکن اعلام خواهند کرد.,پیگیری ارسال سفارش
29,اگر کالایی که خریدم در حمل و نقل آسیب ببیند چگونه از خدمات پس از فروش استفاده کنم؟,آسیب‏‏ دیدگی باید حداکثر طی 7 روز پس از دریافت کالا، به خدمات پس از فروش دیجی‌کالا اطلاع داده شود.,بازگرداندن کالا
30,روش صحیح بسته بندی کالای مرجوعی به چه صورت است؟,رعایت مواردی که در توضیحات تکمیلی درج شده  در روش بسته بندی کالای مرجوعی الزامی است:,بازگرداندن کالا
31,کالایی که از دیجی کالا خریده ام، پس از یک هفته از تحویل کالا، خراب شده و نیاز به استفاده از گارانتی دارم، چطور می توانم از گارانتی استفاده کنم؟,دیجی کالا تا 7 روز از تاریخ تحویل کالا به شما، عودت کالا را بر عهده دارد. در صورتی که پس از این مدت کالای شما دچار نقص شود، در صورتی که تحت پوشش گارانتی باشد، می توانید برای رفع عیب به شرکت گارانتی کننده مراجعه نمائید.,بازگرداندن کالا
32,تا چند روز مهلت دارم محصول خریداری شده ی خود را مرجوع کنم؟,مشتریان عادی تا 7 روز و مشتریان دیجی پلاس تا 30 روز پس از تحویل کالا، می توانند با مراجعه به حساب کاربری خود درخواست مرجوعی را ثبت کنند.,بازگرداندن کالا
33,چطور میتوانم با گارانتی مدنظر خود تماس بگیرم؟,شما میتوانید از لیست ، شماره گارانتی مورد نظر خود را بیابید.,بازگرداندن کالا
34,آیا میتوانم کارت هدیه را مرجوع کنم؟,خیر، امکان مرجوع نمودن کارت هدیه وجود ندارد.,بازگرداندن کالا
35,چطور گوشی جدید خود را فعال ( رجیستر ) کنم؟,هر دستگاه نیازمند فعالسازی، باید از طریق سامانه همتا با واردکردن شناسه (IMEI)، شماره سیم کارت و کد فعال سازی، برای سیم کارت مورد نظر فعال سازی شود,بازگرداندن کالا
36,در صورتی که من در یکی از شهرهای اکسپرس نباشم ، چطور میتوانم کالای خود را برای شما ارسال کنم ؟,میتوانید کالای خود را با پست برای ما ارسال نمایید. هزینه پست پیشتاز با  ارائه فاکتور و قبض شرکت پست پس از تایید خدمات پس از فروش به حساب شما واریز می‌شود.,بازگرداندن کالا
37,به کارت هدیه خود دسترسی ندارم ، چطور میتوانم از باقیمانده موجودی آن استفاده کنم ؟,پس از کنسل یا مرجوع سفارش ، کارت هدیه شارژ میشود و امکان استفاده  مجدد در پروفایل شما وجود دارد .,بازگرداندن کالا
38,فرشی که خریداری کردم اگر ایراد ظاهری و یا مغایرت با سایت داشته باشد میتوانم برگردانم؟,بله ، شما در همان روز تحویل کالا ، در صورتی که فرش در شرایط اولیه باشد میتوانید کالا را مرجوع کنید.,بازگرداندن کالا
39,چطور میتوانم برای خرید کارت هدیه فاکتور دریافت کنم؟,امکان صدور فاکتور برای کارت هدیه میسر نیست.,کد تخفیف و کارت هدیه
40,به کارت هدیه خود دسترسی ندارم ، چطور میتوانم از باقیمانده موجودی آن استفاده کنم ؟,پس از کنسل یا مرجوع سفارش ، کارت هدیه شارژ میشود و امکان استفاده  مجدد در پروفایل شما وجود دارد .,کد تخفیف و کارت هدیه
41,آیا میتوانم کارت هدیه خود را مرجوع کنم؟,کارت هدیه خریداری شده امکان مرجوعی ندارد.,کد تخفیف و کارت هدیه
42,چطور کارت هدیه خود را در پروفایل ثبت کنم ؟,به حساب کاربری خود وارد شوید. به قسمت کارت های هدیه مراجعه و روی گزینه افزودن کارت هدیه کلیک نمایید ,کد تخفیف و کارت هدیه
43,شرایط استفاده از کد تخفیف اولین خرید چیست؟,سیستم هوشمند دیجی کالا، پس از بررسی حساب کاربری در صورتی که مالک آن مشتری جدید دیجی کالا باشد...,کد تخفیف و کارت هدیه
44,اگر کالای خود را به هردلیلی مرجوع کنم چه اتفاقی برای مبلغ کارت هدیه میافتد؟,کارت هدیه شما به میزان مبلغی که در سفارش از کارت هدیه پرداخت نموده اید ، مجدد شارژ میشود.میتوانید از باقی مانده کارت هدیه در خرید های بعد خود استفاده نمایید .,کد تخفیف و کارت هدیه
45,چطور میتوانم کد تخفیف دریافت کنم؟,دیجی کالا در مناسبتهای مختلف و با برگزاری جشنواره فروش ویژه تعدادی کد تخفیف از طریق پیامک ، ایمیل و شبکه های اجتماعی در اختیار مشتریان قرار میدهد.,کد تخفیف و کارت هدیه
46,چطور از کارت هدیه خود استفاده کنم؟,دیجی کالا در مناسبتهای مختلف و با برگزاری جشنواره فروش ویژه تعدادی کد تخفیف از طریق پیامک ، ایمیل و شبکه های اجتماعی در اختیار مشتریان قرار میدهد.,کد تخفیف و کارت هدیه
47,چطور از کارت هدیه خود استفاده کنم؟,به حساب کاربری خود وارد شوید. کالاهای مدنظر خود را به سبد خرید اضافه کنید. در مرحله پرداخت سریال کارت هدیه را وارد نموده و دکمه ثبت را بزنید.,کد تخفیف و کارت هدیه
48,در صورتی که کارت هدیه مفقود یا دزدیده شود ، چطور میتوانم این مورد را پیگیری کنم؟,در صورت سرقت یا مفقودی کارت هدیه دیجی کالا، مسئولیت آن با دارنده ی کارت هدیه می باشد و دیجی کالا در این خصوص هیچ مسئولیتی ندارد.,کد تخفیف و کارت هدیه
49,آیا امکان بازگشت گل طبیعی وجود دارد؟,در هنگام تحویل کالا توسط مامور ارسال، میبایستی سفارش را به صورت کامل (از لحاظ مغایرت و یا هرگونه ایراد ظاهری) بررسی نمائید. پس از تحویل، امکان بازگشت وجود ندارد.,سوپرمارکت
50,شرایط خرید و بازگرداندن کالا برای کالاهای سوپر مارکتی چگونه است؟,لطفاً پیش از خرید، موارد زیر را به‌دقت بخوانید؛ زیرا ثبت هر سفارش در دیجی‌کالا به معنی موافقت با شرایط زیر است.,سوپرمارکت
51,در چه شرایطی میتوانم کالای ارسال سریع ( سوپرمارکتی ) خود را مرجوع نمایم ؟,در شرایطی که ایراد کالا درب منزل قابل تشخیص نباشد ، شما میتوانید طی 7 روز (قبل از سپری شدن تاریخ انقضاء کالا ) از طریق تلفن ، صفحه تماس با ما و یا از پروفایل خود درخواست مرجوع شدن کالا را مطرح و کالای خود را مرجوع نمایید.,سوپرمارکت
52,در صورتی که امکان تحویل کالا در بازه یا آدرس انتخابی من امکانپذیر نباشد چه اتفاقی میافتد؟,در صورتی که ما امکان تحویل سفارش در بازه یا آدرس انتخابی شما را نداشته باشیم ، با شما تماس گرفته و زمان یا آدرس جدیدی جهت تحویل سفارش با شما هماهنگ و سفارش را برای شما ارسال خواهیم نمود.,سوپرمارکت
53,چه زمانی میتوانم کالای خود را تحویل بگیرم؟,سفارش شما براساس روز و زمانی که هنگام ثبت سفارش انتخاب می‌کنید، برای شما ارسال خواهد شد.,سوپرمارکت
54,در صورتی که کالای ارسال شده آسیب ظاهری دیده باشد امکان مرجوع نمودن آن را دارم ؟,لطفا هنگام تحویل توسط مامور ارسال، اقلام سفارش خود را به دقت بررسی نمایید. تغییر یا لغو سفارش به دلیل ایرادهای ظاهری و قابل تشخیص در زمان تحویل کالا بعد از تحویل سفارش به هیچ وجه امکان پذیر نمی باشد.,سوپرمارکت
55,اگر در بازه زمانی انتخابی، در محل برای دریافت کالا حضور نداشته باشم، آیا امکان ارسال مجدد توسط دیجی کالا وجود دارد ؟,در صورت امکان هماهنگی لازم جهت ارسال مجدد صورت میگیرد. در صورتی که امکان ارسال مجدد وجود نداشته باشد(مانند کالاهای فاسد شدنی)، سفارش لغو و در صورتی که سفارش پرداخت شده باشد ، مبلغ به شماره کارت مندرج در پروفایل شما مرجوع خواهد شد.,سوپرمارکت
